itemid,avg(mean_frequency),total_count
226629,1.0,12
226614,1.6,8
226612,7.666666666666667,161
226567,3.5437956204379564,971
226571,1.6789473684210525,319
226630,1.0,11
226600,12.872727272727273,708
226627,1.1056179775280899,984
229414,55.0,55
226592,27.838709677419356,863
226608,9.2,92
226603,6.6,66
226605,12.0,24
226591,7.666666666666667,23
229413,17.2,86
226598,3.4210526315789473,65
226563,29.0,290
226561,13.817518248175183,3786
226589,24.416666666666668,2637
226623,11.666666666666666,35
226606,83.25,333
226576,2.603938730853392,1190
226593,12.794871794871796,499
226613,12.216867469879517,1014
226625,1.24,31
226582,9.521739130434783,657
227488,8.4,210
226574,2.5,5
226628,1.0,20
226610,66.16666666666667,794
226599,10.17741935483871,2524
226575,7.246445497630332,1529
226583,3.4444444444444446,341
227701,6.269230769230769,326
226631,1.144578313253012,95
226559,56.40449438202247,160640
227489,9.409090909090908,207
226584,30.642857142857142,429
226597,6.818181818181818,150
227510,10.054455445544555,4062
226601,13.0,169
226590,18.4,736
226626,1.1616438356164382,424
226619,9.923076923076923,387
226609,3.0,3
226633,1.3013100436681222,596
226602,7.0,21
226560,9.671516508114157,17283
227511,3.3095238095238093,417
226595,1.6666666666666667,5
226604,4.352941176470588,148
226579,2.8202764976958523,612
226580,4.684931506849315,684
226565,11.2,56
226564,9.666666666666666,145
226624,12.666666666666666,38
226588,26.543701799485863,20651
226632,1.096774193548387,102
226573,4.766666666666667,429
226620,19.0,57
226617,1.0,1
226621,1.0,1
